"","professor_id","professor_name","department","university","quality","difficulty","emotion","class_name","comment","thumbs_up","thumbs_down","review_date"
"11",383409,"Fathali Firoozi","Economics department","University of Texas at San Antonio",5,3,"AWESOME","ECO6113","One of the Greatest Professors in the Eco Dept, I love the way he teaches and I aspire to be like him when I become a professor! he is simply Wonderful! the material wasn't that heavy! I was concerned at first but I wish If I took his undergrad course it would be a piece of cake!",0,0,2018-11-15
"12",383409,"Fathali Firoozi","Economics department","University of Texas at San Antonio",4,2,"AWESOME","ECO2013","Great class if you just need the economics credit, its SUPER easy. But if you wanna actually learn economics, dont take this class.",5,4,2018-05-27
"13",935704,"Leslie Doss","Economics department","University of Texas at San Antonio",4,3,"AWESOME","ECO2013","Professor Doss is an eccentric old man who will talk about anything and everything. All the work is online-oriented and while attendance is mandatory, the GroupMe chat for the class will give you the code needed. I personally liked Mr. Doss, he was just a fun old man spitting some wisdom.",0,0,2023-04-28
"14",935704,"Leslie Doss","Economics department","University of Texas at San Antonio",3,2,"AVERAGE","ECO2013","Professor doesn't teach and talks about his life for the whole class and attendance is mandatory.",0,0,2023-04-20
"15",935704,"Leslie Doss","Economics department","University of Texas at San Antonio",5,1,"AWESOME","ECO2023","Wow this guy is amazing. His lectures contain only 1% useful information that will be on the test, so you'll have to study the online materials for it. He also checks attendance every class. The lectures though.. AMAZING! This is where you learn useful information. You learn about life. This guy is super rich, he knows how to create wealth.",0,0,2023-01-22
"16",935704,"Leslie Doss","Economics department","University of Texas at San Antonio",3,3,"AVERAGE","ECO2023","Weekly reading, homework(unlimited attempts), and quizzes(2 attempts). Goes on tangents all the time, some relate to what we are talking about. I recommend going to the SI sessions for clarification. There are 4 test and an optional comprehensive test. Overall the class is a bit hard and time consuming, but easy to pass.",0,0,2022-12-30
"17",935704,"Leslie Doss","Economics department","University of Texas at San Antonio",3,2,"AVERAGE","ECO2013","All tests and homework are done online. Doss tends to go off-topic during lectures and tends to spend the whole class discussing unrelated subjects students bring up. Attendance is also mandatory which is unfortunate because I never felt a need to go to class to get a good grade.",1,0,2022-12-07
"18",935704,"Leslie Doss","Economics department","University of Texas at San Antonio",5,3,"AWESOME","ECO2023","Doss was hilarious. Most work was done outside of class (textbook, homework, quizzes and even the tests all are online at home) and inside class he went over all the harder stuff. I found I learned more from the in class lectures than the textbooks. Grading is clear, just get the work done before it's due and then you just worry for the test.",0,0,2022-12-03
"19",935704,"Leslie Doss","Economics department","University of Texas at San Antonio",5,3,"AWESOME","ECO2023","Professor Doss is like an onion. He is nice and hilarious during his lectures, but when it comes down to business he means WORK! The tests are pretty heavy, if you do not do the HW or quizzes good luck. In order to pass this class you need to do the work, if you are a slacker forget about this class because you have to work. But he is awesome!",0,0,2022-12-01
"20",935704,"Leslie Doss","Economics department","University of Texas at San Antonio",2,2,"AWFUL","ECO2023","The class is very smartbook heavy, and it's practically guaranteed that you'll pass his class if you just do the work on time. He does take attendance during lectures if he remembers to, but the only reason to show up to one is to note the disagreements he and the book have on the subject, which is only usually 20% of the actual class time.",0,0,2022-11-16
"21",935704,"Leslie Doss","Economics department","University of Texas at San Antonio",5,2,"AWESOME","ECO2023","Professor Doss was by far one of my favorite professors I have taken and plan on taking him again in the future. Everything is done online in Mcgraw Hill Connect. He does take attendance but adds it as credit to your grade which helps a lot. He tends to go on random information during his lectures but everything you need to know is in the textbook.",0,0,2022-11-15
"22",935704,"Leslie Doss","Economics department","University of Texas at San Antonio",5,2,"AWESOME","ECO2023","He is a good professor. He sets clear grading standards. Everything is done through McGraw hill connect. Everything is open book. Lectures are just long and don't make sense. Just read through the homeworks and you will have an A in the class.",0,0,2022-11-15
"23",935704,"Leslie Doss","Economics department","University of Texas at San Antonio",5,3,"AWESOME","ECO2003","If you have to take ECON i highly recommend Doss. I am a lazy student and kept an A the whole class. Attendance is extra credit, i just did work during the class. Its smartbook heavy so if you do the work you're GUARANTEED a B- to an A+. You can literally retake everything until you get a 100 except the exams.",0,0,2022-11-10
"24",935704,"Leslie Doss","Economics department","University of Texas at San Antonio",5,2,"AWESOME","ECO2013","Prof Doss is the absolute best when it comes to class lectures. Sure he gets off topic, but it is very enjoyable content and various times does connect back to the discussion. We had several debates with him when we were in his class after dismissal about econ, life, and even basketball. He is a tremendous person and fun to talk with easy content!",0,0,2022-08-25
"25",935704,"Leslie Doss","Economics department","University of Texas at San Antonio",4,2,"AWESOME","ECO2023","Overall a good professor, lectures tend to go off topic but his assignments and tests are not too hard. Would take again.",0,0,2022-05-08
"26",935704,"Leslie Doss","Economics department","University of Texas at San Antonio",3,1,"AVERAGE","ECO2013","Doss is a very intriguing guy, and you shouldn't be bored in his class. His lectures don't go into depth, nor are they always on topic but it will not affect your performance. His class is smartbook heavy with lots of homework being easy A's. Exams are online and can be excelled at through proper studying of the book. Attendance is extra credit.",0,0,2022-05-02
"27",935704,"Leslie Doss","Economics department","University of Texas at San Antonio",4,2,"AWESOME","ECO2013","Very fun professor, he is really engaging and you'll probably hear about his corvette every day, I would definitely have him again, the allows two tries for quizzes which show you what you got wrong on the first try and the homework assignments have the ""check my answers"" option which is great!!!",1,0,2022-05-02
"28",935704,"Leslie Doss","Economics department","University of Texas at San Antonio",1,4,"AWFUL","ECO2013","60% of the lecture is him talking about the car his wife bought for $10,000 over list. seems like he really doesn't enjoy teaching the subject.",0,0,2022-04-14
"29",935704,"Leslie Doss","Economics department","University of Texas at San Antonio",2,2,"AWFUL","ECO2013","The class was fine, but I feel that was no due to him. It's pretty much entirely on smartbook and connect, so you can kind of cut him out. His lectures are interesting, but he often times failed to take a neutral position when talking about modern events. He also wouldn't stop students from butting in with political opinions which was frustrating.",0,0,2022-04-01
"30",935704,"Leslie Doss","Economics department","University of Texas at San Antonio",3,2,"AVERAGE","ECO2023","Took this async over the summer. One chapter everyday Mon-Fri. Chapter includes reading, homework, and quiz. He gives you the online textbook and suggests a timeline in which to complete it, but other than that you are on your own. If you complete all the assignments (which can be a lot if you have busy summers/ multi classes) should be an easy A.",0,0,2021-12-07
"31",935704,"Leslie Doss","Economics department","University of Texas at San Antonio",3,2,"AVERAGE","ECO2013","Complete all assignments and it should be an easy A. If you show up to class he will do random extra credit points. One chapter a week due (reading, 10 question homework, 20 question quiz). Can take every quiz twice. After every 3-4 chapters there is a test. Four tests total+ optional final. Lectures can be repetitive.",1,0,2021-12-06
"32",935704,"Leslie Doss","Economics department","University of Texas at San Antonio",5,3,"AWESOME","ECO2023","Very funny guy. Knows so much about the topic and just everyday things. Gets a little off topic from time to time, but it always ties back to what we are doing in class that day. Lots of lectures, but lets you out early almost every day.",0,0,2021-11-03
"33",935704,"Leslie Doss","Economics department","University of Texas at San Antonio",2,3,"AWFUL","ECO2023","a very hands-off approach to the online asynchronous course. I found it easy since I had already taken this economics class in high school but if you hadn't it could be very difficult because of how much new content is learned in a single session.",0,0,2021-08-23
"34",935704,"Leslie Doss","Economics department","University of Texas at San Antonio",1,4,"AWFUL","ECO2023","If you want to teach yourself a class. Professor has outdated lectures and you have to figure out economics by yourself. Well this is the class for you",0,0,2021-07-20
"35",935704,"Leslie Doss","Economics department","University of Texas at San Antonio",1,4,"AWFUL","ECO2023","Wow, just wow. I took this class in the summer and it was such a mistake. The professor literally could not care less about the class. He stacks up like 7 chapters for a week and just throws an exam on there for giggles. The entire course is straight from the textbook, there were no lectures or anything. Definitely would not recommend this class.",1,0,2021-07-18
"36",935704,"Leslie Doss","Economics department","University of Texas at San Antonio",1,4,"AWFUL","ECO3273","This class was pretty much teach yourself and the lectures were useless so I didn't go. There are McGraw-Hill HW assignments & quizzes every week along with tests every so often. My main gripe is that there were two 6-8 page papers and one 18 page term paper we had to write, that was awful. Lectures are mandatory as there is an attendance quiz.",1,0,2021-05-04
"37",935704,"Leslie Doss","Economics department","University of Texas at San Antonio",1,4,"AWFUL","ECO2023","Don't take this class. Take the course to CLEP because that is basically what this class was. All self-taught through reading. Professor is completely hands off. Schedule changes constantly. One week there will be multiple chapters due on top of an exam. Each chapter is about 2-3 hours with reading, notes, and learnsmart questions.",1,0,2021-04-20
"38",935704,"Leslie Doss","Economics department","University of Texas at San Antonio",1,3,"AWFUL","ECO2013","If I wanted to teach myself an entire class I would've taken the CLEP exam instead of wasting my money on a CLASS! This professor is so hands-off and rushes through everything in a 10-30 min video he calls a review. No effort is made by the professor.",0,0,2020-10-15
"39",935704,"Leslie Doss","Economics department","University of Texas at San Antonio",1,4,"AWFUL","ECO2023","He doesn't have lectures and the questions on the quizzes are vague. Time is very limited as well, does not allow you to think but instead gives you anxiety.",1,0,2020-09-13
"40",935704,"Leslie Doss","Economics department","University of Texas at San Antonio",2,1,"AWFUL","ECO2013","I have heard good things of Doss for upper level Econ courses, but he does not care about intro level courses. The entirety of this course is online even though it is not an online course. 90% of lectures are unnecessary as he does not discuss topics relevant to the course. The tests are online as well. You will not learn much, but it is easy.",1,0,2020-06-02
"41",935704,"Leslie Doss","Economics department","University of Texas at San Antonio",1,5,"AWFUL","ECO2023","online lectures are just answering the same 30 questions about extra credit then how he's taught other online classes and everything has been fine. Spends about 5 mins for the actual material by reading off powerpoints, not actual teaching. Tests are pretty hard, even if you do study. Does not allow you to go back on previous questions for the test",0,0,2020-05-12
"42",935704,"Leslie Doss","Economics department","University of Texas at San Antonio",1,4,"AWFUL","ECO2023","I would NOT recommend Prof. Doss to anyone! He makes everything so difficult. He speeds through lectures, doesnt elaborate on his answers when students ask questions to better understand. His attitude makes it much worse! I honestly felt like he could careless if his students are learning the material. Basically, you have to teach yourself.",0,0,2020-04-29
"43",935704,"Leslie Doss","Economics department","University of Texas at San Antonio",1,3,"AWFUL","ECO2023","His speeds through his lectures and talks to the class as if we are all economist. Don't take him.",0,0,2020-04-08
"44",935704,"Leslie Doss","Economics department","University of Texas at San Antonio",1,5,"AWFUL","ECO2013","This professor does not teach the material. All he talks about is himself and how smart he is and does not care about his students. 1 min per question test and the test questions are based on politics and political history. Tests are the only grades and there is extra credit opportunity but it is not sufficient. Even if you study you won't pass.",0,0,2019-08-21
"45",935704,"Leslie Doss","Economics department","University of Texas at San Antonio",1,5,"AWFUL","ECO2023","If you like being lied to about grades, 1 min per question tests, EC worth nothing, teacher who doesn't teach, learning nothing, hearing right wing politics- take him. He doesn't teach and admits to not teaching. Also very unprofessional.",1,0,2019-05-22
"46",935704,"Leslie Doss","Economics department","University of Texas at San Antonio",1,5,"AWFUL","ECO2023","I am on my last year of college and thanks to this professor I have now achieved my first D. If you like a minute per question test, no real lectures and a professor who has his head in another world, go ahead. This is a warning.",3,0,2019-05-01
"47",935704,"Leslie Doss","Economics department","University of Texas at San Antonio",1,4,"AWFUL","ECO2023","Not only did his lectures primarily have nothing to do to solidify the course content when it did relate it was minimal and obscurely related that you really had to stretch to make sense of it in relation to course work. No way to prep for tests! Rants politics consistently. Thrives on ignorance. Says attendance isn' required but makes it EC later.",3,0,2019-05-01
"48",935704,"Leslie Doss","Economics department","University of Texas at San Antonio",1,5,"AWFUL","ECO2013","DO NOT TAKE THIS CLASS. You see other reviews on here about how everyone gets A's and B's. Do not take him. It is self-taught but doesn't even matter because there is no efficient way to study for his tests. He doesn't teach in class and goes off topic every ten seconds. He gives extra credit but it is not enough to get the grade you want. A waste.",4,0,2019-05-01
"49",935704,"Leslie Doss","Economics department","University of Texas at San Antonio",4,5,"AWESOME","ECO3273","Public Econ is an incredibly hard class as the avg. grade is a C. It's a seminar-based course, so he'll email articles that cover the lectures so read before class. He tests on both the lectures & book content, usually every 5 weeks covering one ch. per week. 4 tests, 1 term paper instead of a final. Probably best to take Intermediate Econs first.",0,0,2019-04-28
"50",935704,"Leslie Doss","Economics department","University of Texas at San Antonio",1,4,"AWFUL","ECO2013","This professor does not teach you the material. He just talks about his life and goes off topic. I would recommend taking someone else. Tests are the only grade and they are hard and you have to study by yourself.",7,0,2019-03-06
"51",935704,"Leslie Doss","Economics department","University of Texas at San Antonio",4,5,"AWESOME","ECO3313","The class was tough due to being over the summer. Paper due every 12 days and a timed test on Mondays. The first two papers are assigned w/ topic but the final you're on your own. Teaches using the Socratic method so do the readings before coming to class & ask questions. Otherwise, he'll go off track and start talking about public policy. So READ",1,0,2018-08-16
"52",935704,"Leslie Doss","Economics department","University of Texas at San Antonio",5,3,"AWESOME","ECO3013","Doss is a funny guy that shoots from the hip. He's very knowledgeable in his subject matter and does a great job of simplifying complex theories. You will have to write a lot of papers but he's not too hard of a grader if you follow the criteria he gives you. Just put in the work, keep up with the reading, and you'll get an A or B.",1,1,2018-07-12
"53",2816744,"Bulent Temel","Economics department","University of Texas at San Antonio",4,2,"AWESOME","ECO2023","Knows his stuff and explain them well. Uses McGraw Hill as other econ professors at UTSA, and the book is an easy read. Recommend him.",0,0,2023-04-29
"54",2816744,"Bulent Temel","Economics department","University of Texas at San Antonio",5,3,"AWESOME","ECO2023","Great guy. Very warm and caring. Assignments are clear and his lecture slides help a lot with studies. Take his class.",0,0,2023-04-24
"55",2816744,"Bulent Temel","Economics department","University of Texas at San Antonio",1,3,"AWFUL","ECO2023","Course requires MCGRAW HILL. Simbooks can be around 1-2.5 hrs long. Quizzes 20 mins. Instructor is NOT the best. Lacks communication, can be hot or cold. He had us confused about our grades?? GIRL idk mans was all over the place. Leave this prof as a 3rd or last choice.",1,0,2023-04-23
"56",2816744,"Bulent Temel","Economics department","University of Texas at San Antonio",4,4,"AWESOME","ECO2023","I like Temel's classes. He doesn't require attendance, but I attended almost of all them. He gives lots of real life examples for us to relate to the things he is teaching. I also appreciated how approachable he is. He eats lunches with students once a week and talks to them.",0,0,2023-04-21
"57",2816744,"Bulent Temel","Economics department","University of Texas at San Antonio",5,3,"AWESOME","ECO2023","I took two principles and macro from him. Excellent instructor. Clear lectures and chill demeanor.",0,0,2023-04-21
"58",2816744,"Bulent Temel","Economics department","University of Texas at San Antonio",1,2,"AWFUL","ECO2023","Professor Temel is a nice guy, but he is not very responsive. Often times, grades would be input wrong in his class and he would not answer emails when asked about these issues. The lectures are very long, and all of the homework is online.",0,0,2023-04-09
"59",2816744,"Bulent Temel","Economics department","University of Texas at San Antonio",4,2,"AWESOME","ECO2023","Pretty good professor overall and not too hard. Lectures can be pretty boring and he has a ""no technology"" policy but it didn't seem to be enforced.",0,1,2023-03-24
"60",2816744,"Bulent Temel","Economics department","University of Texas at San Antonio",3,2,"AVERAGE","ECO2023","Professor Temel was an easy professor. He did make attendance mandatory for this class, but he has changed it for the following semester. All tests are at home and on McGraw Hill. You honestly don't have to go to class if you are comfortable reading the material at home.",0,0,2023-03-06
"61",2816744,"Bulent Temel","Economics department","University of Texas at San Antonio",2,3,"AWFUL","ECO2023","Grades constantly input wrong into an excel sheet bc he seems to struggle with technology. No electronics, handwritten notes only. The TA seems to do most of the work. ""Given"" up to a week to do assignments, but sometimes it's only 3 days bc the assignments didn't load. Doesn't respond to e-mails. Only took this class bc he had a good rating.",0,0,2023-03-06
"62",2816744,"Bulent Temel","Economics department","University of Texas at San Antonio",2,3,"AWFUL","ECO2023","His lectures are very long and boring, and just mirror the assignments from McGraw Hill which makes showing up to class pointless. He doesn't answer his emails ever, so don't expect to get responses out of him at any point. It took him an average of 11 days to answer any emails I sent to him over the semester. I would not advise taking him.",0,0,2023-02-15
"63",2816744,"Bulent Temel","Economics department","University of Texas at San Antonio",3,3,"AVERAGE","ECO2023","Sweet guy, can tell he wants you to succeed, boring long lectures. Doesn't like phones/laptops in class. Mandatory attendance, work online. Lectures repeat your textbook hw. Lengthy weekly McGraw concepts and quizzes. Exams are quiz compilations. Show up for the attendance grade & knock out ur hw in class for an A. 1 debate for great extra cred!",0,0,2023-01-29
"64",2816744,"Bulent Temel","Economics department","University of Texas at San Antonio",5,3,"AWESOME","ECO2023","You have a smartbook, quiz, and homework a week. Pretty easy to get through and if you need extra help google is your friend. Super sweet teacher and very caring and understanding. Attendance is mandatory unless you have someone else sign your name on the sheet.",0,0,2022-11-30
"65",2816744,"Bulent Temel","Economics department","University of Texas at San Antonio",5,4,"AWESOME","ECO2023","Really good instructor. He uses lots of examples and anecdotes in classes. He has three assignments every week and one test every month. Tests are not difficult if you read the book. No paper in the class which I liked. I will take macro from him in the spring.",0,0,2022-11-27
"66",2816744,"Bulent Temel","Economics department","University of Texas at San Antonio",4,4,"AWESOME","ECO2023","Great instructor. His classes were easy to follow and interesting. He learns students' names. I haven't been, but he also has lunch with students on Mondays. Recommended.",0,0,2022-11-26
"67",2816744,"Bulent Temel","Economics department","University of Texas at San Antonio",5,4,"AWESOME","ECO2023","One of my favorite professors! He has a relaxed demeanor, offers a debate class and gives 5pts extra for participating it. 4 exams, 1 optional final. I would definitely take his classes again.",0,0,2022-11-26
"68",2816744,"Bulent Temel","Economics department","University of Texas at San Antonio",1,4,"AWFUL","ECO2023","He reads off his slides and then asks questions beyond what students have learned and or know. Expectations do not align with the level of information taught. I had to teach myself topics he neglected to speak on. His passion for the field is clear but his ability to translate that passion into teaching and creating a lesson plan lacks greatly.",0,0,2022-11-26
"69",2816744,"Bulent Temel","Economics department","University of Texas at San Antonio",5,2,"AWESOME","ECO2023","Great, caring professor. He actually teaches economics instead of preparing you for economics exams. Check out the book and you will ace through the tests. He also offers tutoring.",0,0,2022-11-23
"70",2816744,"Bulent Temel","Economics department","University of Texas at San Antonio",5,2,"AWESOME","ECO2023","He's so sweet, he really is he just wants to see his students succeed. I've seen other reviews saying he gives out too much work, but to be honest I don't think it's that bad. The online assignments are very easy, they just take a little while to do.",0,0,2022-11-21
"71",2816744,"Bulent Temel","Economics department","University of Texas at San Antonio",5,4,"AWESOME","ECO2023","Interesting lectures. He connects world events to what he teaches and I liked that. Assignments are from the textbook. Make sure to read the book.",0,0,2022-11-21
"72",2816744,"Bulent Temel","Economics department","University of Texas at San Antonio",4,3,"AWESOME","ECO2023","I am with the last reviewer. I think not offering any extra days is not good. But generally it was a great class. I am a chemistry major and I didn't think I would be so interested in the economy. I will see if he teaches macroeconomy in spring.",0,0,2022-11-19
"73",2816744,"Bulent Temel","Economics department","University of Texas at San Antonio",5,3,"AWESOME","ECO2023","I didn't appreciate the no extensions and makeups policy. But overall I really liked his class. He is first teacher I had who didn't prepare me for exams. I feel prepared for economics and my future career.",0,0,2022-11-19
"74",2816744,"Bulent Temel","Economics department","University of Texas at San Antonio",2,1,"AWFUL","ECO2023","Although this class is very easy if you do the work, he gives you 3+ assignments every week and a quiz. Sometimes even doubles the amount of work and expects you to do 7 assignments and 2 quizzes a week.",0,0,2022-11-16
"75",2816744,"Bulent Temel","Economics department","University of Texas at San Antonio",5,3,"AWESOME","ECO2023","First class I took that I didn't not know how they will be useful for me. Dr. T explains what are in the book by relating them to consumers, businesses etc. Didn't think I would study economics for my Master's, but I am considering it now.",0,0,2022-11-16
"76",2816744,"Bulent Temel","Economics department","University of Texas at San Antonio",3,3,"AVERAGE","ECO2023","He was okay, great guy and fun to talk to but not much of a help when it comes to the curriculum. The lectures were very real-world economics based and didn't relate to the homeworks, quizzes, or tests that much. All work is done through McGraw Hill Smartbook and due Sunday at midnight. Cool guy but could have taught the material better",0,0,2022-11-15
"77",2816744,"Bulent Temel","Economics department","University of Texas at San Antonio",4,2,"AWESOME","ECO2023","He is a very inspiring person and you can tell he truly cares about his work. He was very keen to make sure everyone was heard in the class and regularly allowed class discussions. However the assignments were online and did not relate to the lectures that much. The assignments were easy but you will mostly learn yourself.",0,0,2022-11-14
"78",2816744,"Bulent Temel","Economics department","University of Texas at San Antonio",5,1,"AWESOME","ECO2023","Great professor, most of the criteria for exams you will learn via online an online textbook, but Professor Temel's lectures are full of great real-life examples that make the concepts easier to grasp. He's very fun to talk to, really cares a lot, is funny and is a great professor & person.",0,0,2022-11-14
"79",2816744,"Bulent Temel","Economics department","University of Texas at San Antonio",4,3,"AWESOME","ECO2023","Great professor. I get anxious easily. His demeanor is so relaxed I felt comfortable the whole semester. Prepare to study from the book though. He doesn't solve problems from the book every class.",0,0,2022-11-10
"80",2816744,"Bulent Temel","Economics department","University of Texas at San Antonio",5,3,"AWESOME","ECO2023","I enjoyed his micro a lot. His teaching is not dry, he gives many examples and personal stories, and lets students discuss things. He even offered a debate class one week. I will take macro from him next semester too.",0,0,2022-11-09
"81",2816744,"Bulent Temel","Economics department","University of Texas at San Antonio",5,4,"AWESOME","ECO2023","Good teacher. Clean language and knows the contents real well. Very approachable, too. He offers lunch chats so you eat with him on Mondays and talk. I appreciated that.",0,0,2022-11-09
"82",2816744,"Bulent Temel","Economics department","University of Texas at San Antonio",5,3,"AWESOME","ECO2023","I loved his classes. He makes you understand things really well and see the reasons for why they happen. Don't expect to do well in assignments by just attending classes though. He makes you study the book. Take his classes. I sure will.",0,0,2022-11-09
"83",2816744,"Bulent Temel","Economics department","University of Texas at San Antonio",1,2,"AWFUL","ECO2023","His lectures are useless. only gives ""real world examples"" and definitions in class, no teaching. you can hear the door open and close as everyone leaves. Easy class but awful professor. Even said ""you should have read this on the homework, I'm just giving examples"". Take the class because its so easy but don't expect to gain anything out of it",0,0,2022-11-05
"84",2816744,"Bulent Temel","Economics department","University of Texas at San Antonio",5,2,"AWESOME","ECO2023","He's a really nice person who wants to get to know his students. Tests/quizzes were done online and the rest of the homework too. As long as you manage your time, you should be fine. I'd take him again. He also tries to give you insight on how to manage personal finances, which was really helpful!",0,0,2022-10-30
"85",2816744,"Bulent Temel","Economics department","University of Texas at San Antonio",2,4,"AWFUL","ECO2023","Good professor however most of the things he goes over in class are only definitions, and he doesn't really talk about questions that pop up on the homework or tests in lectures. Most of the material you need to take quizzes or any grade is going to be in the textbook. Can only miss 5 lectures or you are dropped from the class.",0,0,2022-10-19
"86",1979874,"Samson Alva","Economics department","University of Texas at San Antonio",4,4,"AWESOME","ECO2023","He is certainly not easy, and this is a rigorous class that teaches a lot about very mind blowing concepts like Game Theory. If you are not passionate about money do not take. You will learn a lot and you will have to study and take notes. This is not a blowoff. If you have any interest though in the subject, it is not hard. It is not like Calculus",0,0,2023-02-28
"87",1979874,"Samson Alva","Economics department","University of Texas at San Antonio",2,5,"AWFUL","ECO2023","Alva tends to go off topic quite a bit during lectures, and usually barely covers the main topics of the lesson. He is always at least 5-7 minutes late everyday but gets upset if someone has to leave early or if he goes past the end time of the class. The smartbook assignments are long and you'll pretty much be teaching yourself the material.",1,0,2023-01-11
"88",1979874,"Samson Alva","Economics department","University of Texas at San Antonio",4,4,"AWESOME","ECO2023","Uses McGraw Hill meaning readings, hw, and quizzes will take a few hours out of your week. Uses learning format where you must finish the reading comprehension assignment prior to the actual lecture. His lectures are extremely in depth but tends to not cover entirety of the reading. Awful at replying to emails. He will grow on you if you let him.",0,0,2023-01-03
"89",1979874,"Samson Alva","Economics department","University of Texas at San Antonio",1,4,"AWFUL","ECO2023","There will be a lot of homework to do, his lectures present nothing but information that he will already have you do quizzes on the day before the lecture he is supposed to teach it. He comes to class 10-20 minutes late everyday, got mad at students who were leaving early, and yelled at his student aid for going to the restroom. Take another prof.",1,0,2022-12-09
"90",1979874,"Samson Alva","Economics department","University of Texas at San Antonio",3,3,"AVERAGE","ECO2023","6/10 not great but not too bad",0,0,2022-12-07
"91",1979874,"Samson Alva","Economics department","University of Texas at San Antonio",1,5,"AWFUL","ECO2023","If you can avoid him then you should. His lectures is just him rambling about nothing for an hour. He assigns a reading and comprehend that takes 2 hrs to finish, hw assignments, quizes, and a test every week. Sometimes he will forget to post the test and makes it dues in a few hours.",1,0,2022-12-04
"92",1979874,"Samson Alva","Economics department","University of Texas at San Antonio",5,3,"AWESOME","ECO2023","Great professor. Show up, pay attention, and do the work. Lecture is only 1/5th of the information you need for the homework & tests. Study the concepts, evaluate them, extract the formulas, then practice applying. Reading assignment (mcgraw) is horrendously long each week so schedule time wisely. Gets you thinking.",0,0,2022-12-03
"93",1979874,"Samson Alva","Economics department","University of Texas at San Antonio",4,3,"AWESOME","ECO2023","He gives great lectures that pertain to actual real world applications. Probably one of the more ""down-to-Earth"" professors out there. While the SmartBook assignments are pretty long sometimes, they are the easiest grades to get. Not a bad professor by any means.",0,0,2022-11-29
"94",1979874,"Samson Alva","Economics department","University of Texas at San Antonio",2,4,"AWFUL","ECO2023","Take him if you like reading and answering questions after each reading that can go from 1 hour to 3 and you have to do it 2x per week sometimes. He stays on 1 slide for the majority of the class and doesn't teach the whole lesson us the intro part to it. He is always willing to help I would take him again. The readings made my life miserable.",1,0,2022-11-21
"95",1979874,"Samson Alva","Economics department","University of Texas at San Antonio",1,5,"AWFUL","ECO2023","Will randomly change the schedule without warning. Completely wastes all class time rambling on about things unrelated to what was supposed to be taught that day. You have a better chance of learning the material through youtube. Constantly starts class late and gets mad when you leave at actual end time rather. Avoid at all costs!",1,0,2022-11-18
